sta,latitude,longitude,elevation
PAVA,9.9402,-84.1187,1104.0
PILE,10.2158,-83.7898,308.6000061
PIRO,8.4109,-83.3195,235.0
PLVR,10.3475,-85.3507,-83.0
POAS,10.0743,-84.2437,1154.0
PTJ1,8.5357,-83.3023,20.0
PURI,9.8472,-84.3112,1121.0
QUEP,9.431,-84.164,10.0
QUES,10.3217,-84.4305,678.0
RAFA,9.9582,-83.8112,2575.0
RAMO,10.0871,-84.4671,1069.0
RAZU,9.6592,-84.0233,1450.0
REPA,9.8276,-83.8689,1334.0
RGM0,9.5902,-82.6074,17.0
RITA,9.521,-84.331,10.0
ROBE,9.9864,-84.7302,33.0
SACU,10.2626,-85.5844,66.0
SANA,9.934,-84.185,906.0
SARA,10.4521,-84.0201,48.29999924
SARC,10.0902,-84.346,974.0
SJS1,9.939,-84.054,1226.0
SOCE,10.3833,-84.6184,450.0
SRA1,10.085,-84.4803,1101.0
TAAN,10.0809,-83.3403,23.20000076
TAGO,9.866,-83.9237,1448.400024
TCS0,10.0421,-84.2998,902.0
TCS1,10.0421,-84.2998,629.0
TEVE,10.3197,-84.8269,1392.0
TIBA,9.9622,-84.0723,1221.0
TILA,10.4684,-84.9697,570.0
TRB1,9.9138,-84.4483,369.0
TRB2,9.9138,-84.4483,369.0
TRIO,9.9051,-83.9942,1338.5
TRT1,10.5984,-83.6993,63.0
TRT2,10.5574,-83.7353,46.0
TUNA,10.4694,-84.6442,266.0
